#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5014,OSB,Oslo bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5014,OSB,New Year''s Day,20090101T000000,Yes,20090717T000000
REC,5014,OSB,Holy Thursday,20090409T000000,Yes,20090717T000000
REC,5014,OSB,Good Friday,20090410T000000,Yes,20090717T000000
REC,5014,OSB,Easter Monday,20090413T000000,Yes,20090717T000000
REC,5014,OSB,Labour Day,20090501T000000,Yes,20090717T000000
REC,5014,OSB,Ascension Day,20090521T000000,Yes,20090717T000000
REC,5014,OSB,Whit Monday,20090601T000000,Yes,20090717T000000
REC,5014,OSB,Christmas Eve,20091224T000000,Yes,20090717T000000
REC,5014,OSB,Christmas Day,20091225T000000,Yes,20090717T000000
REC,5014,OSB,New Years Day,20100101T000000,Yes,20110119T000000
REC,5014,OSB,Holy Thursday,20100401T000000,Yes,20110119T000000
REC,5014,OSB,Good Friday,20100402T000000,Yes,20110119T000000
REC,5014,OSB,Easter Monday,20100405T000000,Yes,20110119T000000
REC,5014,OSB,Ascension Day,20100513T000000,Yes,20110119T000000
REC,5014,OSB,Constitution Day,20100517T000000,Yes,20110119T000000
REC,5014,OSB,Whit Monday,20100524T000000,Yes,20110119T000000
REC,5014,OSB,Christmas Eve,20101224T000000,Yes,20110119T000000
REC,5014,OSB,Holy Thursday,20110421T000000,Yes,20110126T000000
REC,5014,OSB,Good Friday,20110422T000000,Yes,20110126T000000
REC,5014,OSB,Easter Monday,20110425T000000,Yes,20110126T000000
REC,5014,OSB,Constitution Day,20110517T000000,Yes,20110126T000000
REC,5014,OSB,Ascension Day,20110602T000000,Yes,20110126T000000
REC,5014,OSB,Whit Monday,20110613T000000,Yes,20110126T000000
REC,5014,OSB,Boxing Day,20111226T000000,Yes,20110126T000000
REC,5014,OSB,Holy Thursday,20120405T000000,Yes,20120202T000000
REC,5014,OSB,Good Friday,20120406T000000,Yes,20120202T000000
REC,5014,OSB,Easter Monday,20120409T000000,Yes,20120202T000000
REC,5014,OSB,Labour Day,20120501T000000,Yes,20120202T000000
REC,5014,OSB,Constitution Day,20120517T000000,Yes,20120202T000000
REC,5014,OSB,Whit Monday,20120528T000000,Yes,20120202T000000
