#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5011,TWD,Taipei bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5011,TWD,New Year's Day,20080101T000000,Yes,20200130T000000
REC,5011,TWD,Lunar New Year's Eve,20080206T000000,Yes,20200130T000000
REC,5011,TWD,Lunar New Year's Day,20080207T000000,Yes,20200130T000000
REC,5011,TWD,Second Day of Lunar New Year,20080208T000000,Yes,20200130T000000
REC,5011,TWD,Third Day of Lunar New Year Obse,20080211T000000,Yes,20200130T000000
REC,5011,TWD,Memorial Day,20080228T000000,Yes,20200130T000000
REC,5011,TWD,Tomb Sweeping Day,20080404T000000,Yes,20200130T000000
REC,5011,TWD,May Day,20080501T000000,Yes,20200130T000000
REC,5011,TWD,Special Holiday,20080728T000000,Yes,20200130T000000
REC,5011,TWD,Special Holiday,20080929T000000,Yes,20200130T000000
REC,5011,TWD,National Day,20081010T000000,Yes,20200130T000000
REC,5011,TWD,New Year's Day,20090101T000000,Yes,20200130T000000
REC,5011,TWD,Lunar New Year's Eve Observed,20090126T000000,Yes,20200130T000000
REC,5011,TWD,Lunar New Year's Day Observed,20090127T000000,Yes,20200130T000000
REC,5011,TWD,Second Day of Lunar New Year Obs,20090128T000000,Yes,20200130T000000
REC,5011,TWD,Third Day of Lunar New Year Obse,20090129T000000,Yes,20200130T000000
REC,5011,TWD,Bridging Day,20090130T000000,Yes,20200130T000000
REC,5011,TWD,May Day,20090501T000000,Yes,20200130T000000
REC,5011,TWD,Dragon Boat Festival,20090528T000000,Yes,20200130T000000
REC,5011,TWD,Bridging Day,20090529T000000,Yes,20200130T000000
REC,5011,TWD,Special Holiday,20090807T000000,Yes,20200130T000000
REC,5011,TWD,New Years Day,20100101T000000,Yes,20200130T000000
REC,5011,TWD,Lunar New Years Eve Observed,20100215T000000,Yes,20200130T000000
REC,5011,TWD,Lunar New Years Day Observed,20100216T000000,Yes,20200130T000000
REC,5011,TWD,Second Day of Lunar New Year Obs,20100217T000000,Yes,20200130T000000
REC,5011,TWD,Third Day of Lunar New Year Obse,20100218T000000,Yes,20200130T000000
REC,5011,TWD,Bridging Day,20100219T000000,Yes,20200130T000000
REC,5011,TWD,Tomb Sweeping Day,20100405T000000,Yes,20200130T000000
REC,5011,TWD,Dragon Boat Festival,20100616T000000,Yes,20200130T000000
REC,5011,TWD,Moon Festival Day,20100922T000000,Yes,20200130T000000
