#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5055,MUB,Munich Bank Holiday,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5055,MUB,New Years Day,20190101T000000,Yes,20190701T000000
REC,5055,MUB,Good Friday,20190419T000000,Yes,20190701T000000
REC,5055,MUB,Easter Monday,20190422T000000,Yes,20190701T000000
REC,5055,MUB,Labour Day,20190501T000000,Yes,20190701T000000
REC,5055,MUB,Ascension Day,20190530T000000,Yes,20190701T000000
REC,5055,MUB,Whit Monday,20190610T000000,Yes,20190701T000000
REC,5055,MUB,Corpus Christi,20190620T000000,Yes,20190701T000000
REC,5055,MUB,Assumption Day,20190815T000000,Yes,20190701T000000
REC,5055,MUB,Day of Unity,20191003T000000,Yes,20190701T000000
REC,5055,MUB,All Saints Day,20191101T000000,Yes,20190701T000000
REC,5055,MUB,Christmas Eve,20191224T000000,Yes,20190701T000000
REC,5055,MUB,Christmas Day,20191225T000000,Yes,20190701T000000
REC,5055,MUB,St. Stephens Day,20191226T000000,Yes,20190701T000000
REC,5055,MUB,New Years Eve,20191231T000000,Yes,20190701T000000
REC,5055,MUB,New Years Day,20200101T000000,Yes,20200127T000000
REC,5055,MUB,Epiphany,20200106T000000,Yes,20200127T000000
REC,5055,MUB,Good Friday,20200410T000000,Yes,20200127T000000
REC,5055,MUB,Easter Monday,20200413T000000,Yes,20200127T000000
REC,5055,MUB,Labour Day,20200501T000000,Yes,20200127T000000
REC,5055,MUB,Ascension Day,20200521T000000,Yes,20200127T000000
REC,5055,MUB,Whit Monday,20200601T000000,Yes,20200127T000000
REC,5055,MUB,Corpus Christi,20200611T000000,Yes,20200127T000000
REC,5055,MUB,Christmas Eve,20201224T000000,Yes,20200127T000000
REC,5055,MUB,Christmas Day,20201225T000000,Yes,20200127T000000
REC,5055,MUB,New Years Eve,20201231T000000,Yes,20200127T000000
REC,5055,MUB,New Years Day,20210101T000000,Yes,20210206T000000
REC,5055,MUB,Epiphany,20210106T000000,Yes,20210206T000000
REC,5055,MUB,Good Friday,20210402T000000,Yes,20210206T000000
REC,5055,MUB,Easter Monday,20210405T000000,Yes,20210206T000000
REC,5055,MUB,Ascension Day,20210513T000000,Yes,20210206T000000
REC,5055,MUB,Whit Monday,20210524T000000,Yes,20210206T000000
REC,5055,MUB,Corpus Christi,20210603T000000,Yes,20210206T000000
REC,5055,MUB,All Saints Day,20211101T000000,Yes,20210206T000000
REC,5055,MUB,Christmas Eve,20211224T000000,Yes,20210206T000000
REC,5055,MUB,New Years Eve,20211231T000000,Yes,20210206T000000
REC,5055,MUB,Epiphany,20220106T000000,Yes,20210206T000000
REC,5055,MUB,Good Friday,20220415T000000,Yes,20210206T000000
REC,5055,MUB,Easter Monday,20220418T000000,Yes,20210206T000000
REC,5055,MUB,Ascension Day,20220526T000000,Yes,20210206T000000
REC,5055,MUB,Whit Monday,20220606T000000,Yes,20210206T000000
REC,5055,MUB,Corpus Christi,20220616T000000,Yes,20210206T000000
REC,5055,MUB,Assumption Day,20220815T000000,Yes,20210206T000000
REC,5055,MUB,Day of Unity,20221003T000000,Yes,20210206T000000
REC,5055,MUB,All Saints Day,20221101T000000,Yes,20210206T000000
REC,5055,MUB,St. Stephens Day,20221226T000000,Yes,20210206T000000
REC,5055,MUB,Epiphany,20230106T000000,Yes,20210206T000000
REC,5055,MUB,Good Friday,20230407T000000,Yes,20210206T000000
REC,5055,MUB,Easter Monday,20230410T000000,Yes,20210206T000000
REC,5055,MUB,Labour Day,20230501T000000,Yes,20210206T000000
REC,5055,MUB,Ascension Day,20230518T000000,Yes,20210206T000000
REC,5055,MUB,Whit Monday,20230529T000000,Yes,20210206T000000
REC,5055,MUB,Corpus Christi,20230608T000000,Yes,20210206T000000
REC,5055,MUB,Assumption Day,20230815T000000,Yes,20210206T000000
REC,5055,MUB,Day of Unity,20231003T000000,Yes,20210206T000000
REC,5055,MUB,All Saints Day,20231101T000000,Yes,20210206T000000
REC,5055,MUB,Christmas Day,20231225T000000,Yes,20210206T000000
REC,5055,MUB,St. Stephens Day,20231226T000000,Yes,20210206T000000
REC,5055,MUB,New Years Day,20240101T000000,Yes,20210206T000000
REC,5055,MUB,Good Friday,20240329T000000,Yes,20210206T000000
REC,5055,MUB,Easter Monday,20240401T000000,Yes,20210206T000000
REC,5055,MUB,Labour Day,20240501T000000,Yes,20210206T000000
REC,5055,MUB,Ascension Day,20240509T000000,Yes,20210206T000000
REC,5055,MUB,Whit Monday,20240520T000000,Yes,20210206T000000
REC,5055,MUB,Corpus Christi,20240530T000000,Yes,20210206T000000
REC,5055,MUB,Assumption Day,20240815T000000,Yes,20210206T000000
REC,5055,MUB,Day of Unity,20241003T000000,Yes,20210206T000000
REC,5055,MUB,All Saints Day,20241101T000000,Yes,20210206T000000
REC,5055,MUB,Christmas Eve,20241224T000000,Yes,20210206T000000
REC,5055,MUB,Christmas Day,20241225T000000,Yes,20210206T000000
REC,5055,MUB,St. Stephens Day,20241226T000000,Yes,20210206T000000
REC,5055,MUB,New Years Eve,20241231T000000,Yes,20210206T000000
REC,5055,MUB,New Years Day,20250101T000000,Yes,20210206T000000
REC,5055,MUB,Epiphany,20250106T000000,Yes,20210206T000000
REC,5055,MUB,Good Friday,20250418T000000,Yes,20210206T000000
REC,5055,MUB,Easter Monday,20250421T000000,Yes,20210206T000000
REC,5055,MUB,Labour Day,20250501T000000,Yes,20210206T000000
REC,5055,MUB,Ascension Day,20250529T000000,Yes,20210206T000000
REC,5055,MUB,Whit Monday,20250609T000000,Yes,20210206T000000
REC,5055,MUB,Corpus Christi,20250619T000000,Yes,20210206T000000
REC,5055,MUB,Assumption Day,20250815T000000,Yes,20210206T000000
REC,5055,MUB,Day of Unity,20251003T000000,Yes,20210206T000000
REC,5055,MUB,Christmas Eve,20251224T000000,Yes,20210206T000000
REC,5055,MUB,Christmas Day,20251225T000000,Yes,20210206T000000
REC,5055,MUB,St. Stephens Day,20251226T000000,Yes,20210206T000000
REC,5055,MUB,New Years Eve,20251231T000000,Yes,20210206T000000
REC,5055,MUB,New Years Day,20260101T000000,Yes,20210206T000000
REC,5055,MUB,Epiphany,20260106T000000,Yes,20210206T000000
REC,5055,MUB,Good Friday,20260403T000000,Yes,20210206T000000
REC,5055,MUB,Easter Monday,20260406T000000,Yes,20210206T000000
REC,5055,MUB,Labour Day,20260501T000000,Yes,20210206T000000
REC,5055,MUB,Ascension Day,20260514T000000,Yes,20210206T000000
REC,5055,MUB,Whit Monday,20260525T000000,Yes,20210206T000000
REC,5055,MUB,Corpus Christi,20260604T000000,Yes,20210206T000000
REC,5055,MUB,Christmas Eve,20261224T000000,Yes,20210206T000000
REC,5055,MUB,Christmas Day,20261225T000000,Yes,20210206T000000
REC,5055,MUB,New Years Eve,20261231T000000,Yes,20210206T000000
REC,5055,MUB,New Years Day,20270101T000000,Yes,20210206T000000
REC,5055,MUB,Epiphany,20270106T000000,Yes,20210206T000000
REC,5055,MUB,Good Friday,20270326T000000,Yes,20210206T000000
REC,5055,MUB,Easter Monday,20270329T000000,Yes,20210206T000000
REC,5055,MUB,Ascension Day,20270506T000000,Yes,20210206T000000
REC,5055,MUB,Whit Monday,20270517T000000,Yes,20210206T000000
REC,5055,MUB,Corpus Christi,20270527T000000,Yes,20210206T000000
REC,5055,MUB,All Saints Day,20271101T000000,Yes,20210206T000000
REC,5055,MUB,Christmas Eve,20271224T000000,Yes,20210206T000000
REC,5055,MUB,New Years Eve,20271231T000000,Yes,20210206T000000
REC,5055,MUB,Epiphany,20280106T000000,Yes,20210206T000000
REC,5055,MUB,Good Friday,20280414T000000,Yes,20210206T000000
REC,5055,MUB,Easter Monday,20280417T000000,Yes,20210206T000000
REC,5055,MUB,Labour Day,20280501T000000,Yes,20210206T000000
REC,5055,MUB,Ascension Day,20280525T000000,Yes,20210206T000000
REC,5055,MUB,Whit Monday,20280605T000000,Yes,20210206T000000
REC,5055,MUB,Corpus Christi,20280615T000000,Yes,20210206T000000
REC,5055,MUB,Assumption Day,20280815T000000,Yes,20210206T000000
REC,5055,MUB,Day of Unity,20281003T000000,Yes,20210206T000000
REC,5055,MUB,All Saints Day,20281101T000000,Yes,20210206T000000
REC,5055,MUB,Christmas Day,20281225T000000,Yes,20210206T000000
REC,5055,MUB,St. Stephens Day,20281226T000000,Yes,20210206T000000
REC,5055,MUB,New Years Day,20290101T000000,Yes,20210206T000000
REC,5055,MUB,Good Friday,20290330T000000,Yes,20210206T000000
REC,5055,MUB,Easter Monday,20290402T000000,Yes,20210206T000000
REC,5055,MUB,Labour Day,20290501T000000,Yes,20210206T000000
REC,5055,MUB,Ascension Day,20290510T000000,Yes,20210206T000000
REC,5055,MUB,Whit Monday,20290521T000000,Yes,20210206T000000
