#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5027,TGT,TARGET HOLIDAYS,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5027,TGT,New Years Day,20130101T000000,Yes,20130214T000000
REC,5027,TGT,Good Friday,20130329T000000,Yes,20130214T000000
REC,5027,TGT,Easter Monday,20130401T000000,Yes,20130214T000000
REC,5027,TGT,Labour Day,20130501T000000,Yes,20130214T000000
REC,5027,TGT,Christmas Day,20131225T000000,Yes,20130214T000000
REC,5027,TGT,Boxing Day,20131226T000000,Yes,20130214T000000
REC,5027,TGT,New Years Day,20140101T000000,Yes,20140130T000000
REC,5027,TGT,Good Friday,20140418T000000,Yes,20140130T000000
REC,5027,TGT,Easter Monday,20140421T000000,Yes,20140130T000000
REC,5027,TGT,Labour Day,20140501T000000,Yes,20140130T000000
REC,5027,TGT,Christmas Day,20141225T000000,Yes,20140130T000000
REC,5027,TGT,Boxing Day,20141226T000000,Yes,20140130T000000
REC,5027,TGT,New Years Day,20150101T000000,Yes,20150130T000000
REC,5027,TGT,Good Friday,20150403T000000,Yes,20150130T000000
REC,5027,TGT,Easter Monday,20150406T000000,Yes,20150130T000000
REC,5027,TGT,Labour Day,20150501T000000,Yes,20150130T000000
REC,5027,TGT,Christmas Day,20151225T000000,Yes,20150130T000000
REC,5027,TGT,New Years Day,20160101T000000,Yes,20160127T000000
REC,5027,TGT,Good Friday,20160325T000000,Yes,20160127T000000
REC,5027,TGT,Easter Monday,20160328T000000,Yes,20160127T000000
REC,5027,TGT,Boxing Day,20161226T000000,Yes,20160127T000000
REC,5027,TGT,Good Friday,20170414T000000,Yes,20170126T000000
REC,5027,TGT,Easter Monday,20170417T000000,Yes,20170126T000000
REC,5027,TGT,Labour Day,20170501T000000,Yes,20170126T000000
REC,5027,TGT,Christmas Day,20171225T000000,Yes,20170126T000000
REC,5027,TGT,Boxing Day,20171226T000000,Yes,20170126T000000
REC,5027,TGT,New Years Day,20180101T000000,Yes,20180125T000000
REC,5027,TGT,Good Friday,20180330T000000,Yes,20180125T000000
REC,5027,TGT,Easter Monday,20180402T000000,Yes,20180125T000000
REC,5027,TGT,Labour Day,20180501T000000,Yes,20180125T000000
REC,5027,TGT,Christmas Day,20181225T000000,Yes,20180125T000000
REC,5027,TGT,Boxing Day,20181226T000000,Yes,20180125T000000
REC,5027,TGT,New Years Day,20190101T000000,Yes,20190203T000000
REC,5027,TGT,Good Friday,20190419T000000,Yes,20190203T000000
REC,5027,TGT,Easter Monday,20190422T000000,Yes,20190203T000000
REC,5027,TGT,Labour Day,20190501T000000,Yes,20190203T000000
REC,5027,TGT,Christmas Day,20191225T000000,Yes,20190203T000000
REC,5027,TGT,Boxing Day,20191226T000000,Yes,20190203T000000
REC,5027,TGT,New Years Day,20200101T000000,Yes,20200130T000000
REC,5027,TGT,Good Friday,20200410T000000,Yes,20200130T000000
REC,5027,TGT,Easter Monday,20200413T000000,Yes,20200130T000000
REC,5027,TGT,Labour Day,20200501T000000,Yes,20200130T000000
REC,5027,TGT,Christmas Day,20201225T000000,Yes,20200130T000000
REC,5027,TGT,New Years Day,20210101T000000,Yes,20210206T000000
REC,5027,TGT,Good Friday,20210402T000000,Yes,20210206T000000
REC,5027,TGT,Easter Monday,20210405T000000,Yes,20210206T000000
REC,5027,TGT,Good Friday,20220415T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20220418T000000,Yes,20220203T000000
REC,5027,TGT,Boxing Day,20221226T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20230407T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20230410T000000,Yes,20220203T000000
REC,5027,TGT,Labour Day,20230501T000000,Yes,20220203T000000
REC,5027,TGT,Christmas Day,20231225T000000,Yes,20220203T000000
REC,5027,TGT,Boxing Day,20231226T000000,Yes,20220203T000000
REC,5027,TGT,New Years Day,20240101T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20240329T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20240401T000000,Yes,20220203T000000
REC,5027,TGT,Labour Day,20240501T000000,Yes,20220203T000000
REC,5027,TGT,Christmas Day,20241225T000000,Yes,20220203T000000
REC,5027,TGT,Boxing Day,20241226T000000,Yes,20220203T000000
REC,5027,TGT,New Years Day,20250101T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20250418T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20250421T000000,Yes,20220203T000000
REC,5027,TGT,Labour Day,20250501T000000,Yes,20220203T000000
REC,5027,TGT,Christmas Day,20251225T000000,Yes,20220203T000000
REC,5027,TGT,Boxing Day,20251226T000000,Yes,20220203T000000
REC,5027,TGT,New Years Day,20260101T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20260403T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20260406T000000,Yes,20220203T000000
REC,5027,TGT,Labour Day,20260501T000000,Yes,20220203T000000
REC,5027,TGT,Christmas Day,20261225T000000,Yes,20220203T000000
REC,5027,TGT,New Years Day,20270101T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20270326T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20270329T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20280414T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20280417T000000,Yes,20220203T000000
REC,5027,TGT,Labour Day,20280501T000000,Yes,20220203T000000
REC,5027,TGT,Christmas Day,20281225T000000,Yes,20220203T000000
REC,5027,TGT,Boxing Day,20281226T000000,Yes,20220203T000000
REC,5027,TGT,New Years Day,20290101T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20290330T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20290402T000000,Yes,20220203T000000
REC,5027,TGT,Labour Day,20290501T000000,Yes,20220203T000000
REC,5027,TGT,Christmas Day,20291225T000000,Yes,20220203T000000
REC,5027,TGT,Boxing Day,20291226T000000,Yes,20220203T000000
REC,5027,TGT,New Years Day,20300101T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20300419T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20300422T000000,Yes,20220203T000000
REC,5027,TGT,Labour Day,20300501T000000,Yes,20220203T000000
REC,5027,TGT,Christmas Day,20301225T000000,Yes,20220203T000000
REC,5027,TGT,Boxing Day,20301226T000000,Yes,20220203T000000
REC,5027,TGT,New Years Day,20310101T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20310411T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20310414T000000,Yes,20220203T000000
REC,5027,TGT,Labour Day,20310501T000000,Yes,20220203T000000
REC,5027,TGT,Christmas Day,20311225T000000,Yes,20220203T000000
REC,5027,TGT,Boxing Day,20311226T000000,Yes,20220203T000000
REC,5027,TGT,New Years Day,20320101T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20320326T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20320329T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20330415T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20330418T000000,Yes,20220203T000000
REC,5027,TGT,Boxing Day,20331226T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20340407T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20340410T000000,Yes,20220203T000000
REC,5027,TGT,Labour Day,20340501T000000,Yes,20220203T000000
REC,5027,TGT,Christmas Day,20341225T000000,Yes,20220203T000000
REC,5027,TGT,Boxing Day,20341226T000000,Yes,20220203T000000
REC,5027,TGT,New Years Day,20350101T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20350323T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20350326T000000,Yes,20220203T000000
REC,5027,TGT,Labour Day,20350501T000000,Yes,20220203T000000
REC,5027,TGT,Christmas Day,20351225T000000,Yes,20220203T000000
REC,5027,TGT,Boxing Day,20351226T000000,Yes,20220203T000000
REC,5027,TGT,New Years Day,20360101T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20360411T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20360414T000000,Yes,20220203T000000
REC,5027,TGT,Labour Day,20360501T000000,Yes,20220203T000000
REC,5027,TGT,Christmas Day,20361225T000000,Yes,20220203T000000
REC,5027,TGT,Boxing Day,20361226T000000,Yes,20220203T000000
REC,5027,TGT,New Years Day,20370101T000000,Yes,20220203T000000
REC,5027,TGT,Good Friday,20370403T000000,Yes,20220203T000000
REC,5027,TGT,Easter Monday,20370406T000000,Yes,20220203T000000
