#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5076,BMB,Mumbai bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5076,BMB,Republic Day,20210126T000000,Yes,20220107T000000
REC,5076,BMB,Shivaji Jayanti,20210219T000000,Yes,20220107T000000
REC,5076,BMB,Mahashivratri,20210311T000000,Yes,20220107T000000
REC,5076,BMB,Holi,20210329T000000,Yes,20220107T000000
REC,5076,BMB,Yearly Bank Closing,20210401T000000,Yes,20220107T000000
REC,5076,BMB,Good Friday,20210402T000000,Yes,20220107T000000
REC,5076,BMB,Gudi Padwa,20210413T000000,Yes,20220107T000000
REC,5076,BMB,Dr. Ambedkar Jayanti,20210414T000000,Yes,20220107T000000
REC,5076,BMB,Ram Navami,20210421T000000,Yes,20220107T000000
REC,5076,BMB,May Day,20210501T000000,Yes,20220107T000000
REC,5076,BMB,Idul Fitri,20210513T000000,Yes,20220107T000000
REC,5076,BMB,Buddha Purnima,20210526T000000,Yes,20220107T000000
REC,5076,BMB,Idul Adha,20210721T000000,Yes,20220107T000000
REC,5076,BMB,Parsi New Year,20210816T000000,Yes,20220107T000000
REC,5076,BMB,Muharram,20210819T000000,Yes,20220107T000000
REC,5076,BMB,Ganesh Chaturthi,20210910T000000,Yes,20220107T000000
REC,5076,BMB,Gandhi Jayanti,20211002T000000,Yes,20220107T000000
REC,5076,BMB,Dussehra,20211015T000000,Yes,20220107T000000
REC,5076,BMB,Maulid Al-Nabi,20211019T000000,Yes,20220107T000000
REC,5076,BMB,Deepavali,20211104T000000,Yes,20220107T000000
REC,5076,BMB,Balipratipada,20211105T000000,Yes,20220107T000000
REC,5076,BMB,Guru Nanaks Birthday,20211119T000000,Yes,20220107T000000
REC,5076,BMB,Republic Day,20220126T000000,Yes,20220207T000000
REC,5076,BMB,Special Holiday,20220207T000000,Yes,20220207T000000
REC,5076,BMB,Shivaji Jayanti,20220219T000000,Yes,20220207T000000
REC,5076,BMB,Mahashivratri,20220301T000000,Yes,20220207T000000
REC,5076,BMB,Holi,20220318T000000,Yes,20220207T000000
REC,5076,BMB,Yearly Bank Closing,20220401T000000,Yes,20220207T000000
REC,5076,BMB,Gudi Padwa,20220402T000000,Yes,20220207T000000
REC,5076,BMB,Mahavir Jayanti,20220414T000000,Yes,20220207T000000
REC,5076,BMB,Good Friday,20220415T000000,Yes,20220207T000000
REC,5076,BMB,Idul Fitri,20220503T000000,Yes,20220207T000000
REC,5076,BMB,Buddha Purnima,20220516T000000,Yes,20220207T000000
REC,5076,BMB,Muharram,20220809T000000,Yes,20220207T000000
REC,5076,BMB,Independence Day,20220815T000000,Yes,20220207T000000
REC,5076,BMB,Parsi New Year,20220816T000000,Yes,20220207T000000
REC,5076,BMB,Ganesh Chaturthi,20220831T000000,Yes,20220207T000000
REC,5076,BMB,Dussehra,20221005T000000,Yes,20220207T000000
REC,5076,BMB,Deepavali,20221024T000000,Yes,20220207T000000
REC,5076,BMB,Balipratipada,20221026T000000,Yes,20220207T000000
REC,5076,BMB,Guru Nanaks Birthday,20221108T000000,Yes,20220207T000000
REC,5076,BMB,Republic Day,20230126T000000,Yes,20220207T000000
