#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5029,MXB,Mexico City Bank Holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5029,MXB,New Year''s Day,20140101T000000,Yes,20150128T000000
REC,5029,MXB,Constitution Day,20140203T000000,Yes,20150128T000000
REC,5029,MXB,Juarez''s Birthday,20140317T000000,Yes,20150128T000000
REC,5029,MXB,Holy Thursday,20140417T000000,Yes,20150128T000000
REC,5029,MXB,Good Friday,20140418T000000,Yes,20150128T000000
REC,5029,MXB,Labour Day,20140501T000000,Yes,20150128T000000
REC,5029,MXB,Independence Day,20140916T000000,Yes,20150128T000000
REC,5029,MXB,Revolution Day,20141117T000000,Yes,20150128T000000
REC,5029,MXB,Our Lady of Guadalupe Day,20141212T000000,Yes,20150128T000000
REC,5029,MXB,Christmas Day,20141225T000000,Yes,20150128T000000
REC,5029,MXB,New Years Day,20150101T000000,Yes,20150130T000000
REC,5029,MXB,Constitution Day,20150202T000000,Yes,20150130T000000
REC,5029,MXB,Juarezs Birthday,20150316T000000,Yes,20150130T000000
REC,5029,MXB,Holy Thursday,20150402T000000,Yes,20150130T000000
REC,5029,MXB,Good Friday,20150403T000000,Yes,20150130T000000
REC,5029,MXB,Labour Day,20150501T000000,Yes,20150130T000000
REC,5029,MXB,Independence Day,20150916T000000,Yes,20150130T000000
REC,5029,MXB,All Souls Day,20151102T000000,Yes,20150130T000000
REC,5029,MXB,Revolution Day,20151116T000000,Yes,20150130T000000
REC,5029,MXB,Christmas Day,20151225T000000,Yes,20150130T000000
REC,5029,MXB,New Years Day,20160101T000000,Yes,20160127T000000
REC,5029,MXB,Constitution Day,20160201T000000,Yes,20160127T000000
REC,5029,MXB,Juarezs Birthday,20160321T000000,Yes,20160127T000000
REC,5029,MXB,Holy Thursday,20160324T000000,Yes,20160127T000000
REC,5029,MXB,Good Friday,20160325T000000,Yes,20160127T000000
REC,5029,MXB,Independence Day,20160916T000000,Yes,20160127T000000
REC,5029,MXB,All Souls Day,20161102T000000,Yes,20160127T000000
