#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5031,MEB,Melbourne Bank Holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5031,MEB,New Years Day,20150101T000000,Yes,20151029T000000
REC,5031,MEB,Australia Day,20150126T000000,Yes,20151029T000000
REC,5031,MEB,Labour Day,20150309T000000,Yes,20151029T000000
REC,5031,MEB,Good Friday,20150403T000000,Yes,20151029T000000
REC,5031,MEB,Easter Monday,20150406T000000,Yes,20151029T000000
REC,5031,MEB,Queens Birthday,20150608T000000,Yes,20151029T000000
REC,5031,MEB,Public Holiday,20151002T000000,Yes,20151029T000000
REC,5031,MEB,Melbourne Cup Day,20151103T000000,Yes,20151029T000000
REC,5031,MEB,Christmas Day,20151225T000000,Yes,20151029T000000
REC,5031,MEB,Boxing Day Observed,20151228T000000,Yes,20151029T000000
REC,5031,MEB,New Years Day,20160101T000000,Yes,20160127T000000
REC,5031,MEB,Australia Day,20160126T000000,Yes,20160127T000000
REC,5031,MEB,Labour Day,20160314T000000,Yes,20160127T000000
REC,5031,MEB,Good Friday,20160325T000000,Yes,20160127T000000
REC,5031,MEB,Easter Monday,20160328T000000,Yes,20160127T000000
REC,5031,MEB,Anzac Day,20160425T000000,Yes,20160127T000000
REC,5031,MEB,Queens Birthday,20160613T000000,Yes,20160127T000000
REC,5031,MEB,Public Holiday,20160930T000000,Yes,20160127T000000
REC,5031,MEB,Melbourne Cup Day,20161101T000000,Yes,20160127T000000
REC,5031,MEB,Christmas Day Observed,20161226T000000,Yes,20160127T000000
REC,5031,MEB,Boxing Day Observed,20161227T000000,Yes,20160127T000000
REC,5031,MEB,New Years Day Observed,20170102T000000,Yes,20170126T000000
REC,5031,MEB,Australia Day,20170126T000000,Yes,20170126T000000
REC,5031,MEB,Labour Day,20170313T000000,Yes,20170126T000000
REC,5031,MEB,Good Friday,20170414T000000,Yes,20170126T000000
REC,5031,MEB,Easter Monday,20170417T000000,Yes,20170126T000000
REC,5031,MEB,Anzac Day,20170425T000000,Yes,20170126T000000
REC,5031,MEB,Queens Birthday,20170612T000000,Yes,20170126T000000
REC,5031,MEB,Public Holiday,20170929T000000,Yes,20170126T000000
REC,5031,MEB,Melbourne Cup Day,20171107T000000,Yes,20170126T000000
REC,5031,MEB,Christmas Day,20171225T000000,Yes,20170126T000000
REC,5031,MEB,Boxing Day,20171226T000000,Yes,20170126T000000
REC,5031,MEB,New Years Day,20180101T000000,Yes,20180125T000000
REC,5031,MEB,Australia Day,20180126T000000,Yes,20180125T000000
REC,5031,MEB,Labour Day,20180312T000000,Yes,20180125T000000
REC,5031,MEB,Good Friday,20180330T000000,Yes,20180125T000000
REC,5031,MEB,Easter Monday,20180402T000000,Yes,20180125T000000
REC,5031,MEB,Anzac Day,20180425T000000,Yes,20180125T000000
REC,5031,MEB,Queens Birthday,20180611T000000,Yes,20180125T000000
REC,5031,MEB,Public Holiday,20180928T000000,Yes,20180125T000000
REC,5031,MEB,Melbourne Cup Day,20181106T000000,Yes,20180125T000000
REC,5031,MEB,Christmas Day,20181225T000000,Yes,20180125T000000
REC,5031,MEB,Boxing Day,20181226T000000,Yes,20180125T000000
