#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5050,HEB,Helsinki bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5050,HEB,Twelfth Day,20170106T000000,Yes,20170411T000000
REC,5050,HEB,Good Friday,20170414T000000,Yes,20170411T000000
REC,5050,HEB,Easter Monday,20170417T000000,Yes,20170411T000000
REC,5050,HEB,Labour Day,20170501T000000,Yes,20170411T000000
REC,5050,HEB,Ascension Day,20170525T000000,Yes,20170411T000000
REC,5050,HEB,Midsummers Eve,20170623T000000,Yes,20170411T000000
REC,5050,HEB,Independence Day,20171206T000000,Yes,20170411T000000
REC,5050,HEB,Christmas Day,20171225T000000,Yes,20170411T000000
REC,5050,HEB,Boxing Day,20171226T000000,Yes,20170411T000000
REC,5050,HEB,New Years Day,20180101T000000,Yes,20180125T000000
REC,5050,HEB,Good Friday,20180330T000000,Yes,20180125T000000
REC,5050,HEB,Easter Monday,20180402T000000,Yes,20180125T000000
REC,5050,HEB,Labour Day,20180501T000000,Yes,20180125T000000
REC,5050,HEB,Ascension Day,20180510T000000,Yes,20180125T000000
REC,5050,HEB,Midsummers Eve,20180622T000000,Yes,20180125T000000
REC,5050,HEB,Independence Day,20181206T000000,Yes,20180125T000000
REC,5050,HEB,Christmas Eve,20181224T000000,Yes,20180125T000000
REC,5050,HEB,Christmas Day,20181225T000000,Yes,20180125T000000
REC,5050,HEB,Boxing Day,20181226T000000,Yes,20180125T000000
REC,5050,HEB,New Years Day,20190101T000000,Yes,20190201T000000
REC,5050,HEB,Good Friday,20190419T000000,Yes,20190201T000000
REC,5050,HEB,Easter Monday,20190422T000000,Yes,20190201T000000
REC,5050,HEB,Labour Day,20190501T000000,Yes,20190201T000000
REC,5050,HEB,Ascension Day,20190530T000000,Yes,20190201T000000
REC,5050,HEB,Midsummers Eve,20190621T000000,Yes,20190201T000000
REC,5050,HEB,Independence Day,20191206T000000,Yes,20190201T000000
REC,5050,HEB,Christmas Eve,20191224T000000,Yes,20190201T000000
REC,5050,HEB,Christmas Day,20191225T000000,Yes,20190201T000000
REC,5050,HEB,Boxing Day,20191226T000000,Yes,20190201T000000
REC,5050,HEB,New Years Day,20200101T000000,Yes,20200130T000000
REC,5050,HEB,Twelfth Day,20200106T000000,Yes,20200130T000000
REC,5050,HEB,Good Friday,20200410T000000,Yes,20200130T000000
