#
# sched:HolidaySchedules
#
TBL,sched:HolidaySchedule,sched:scheduleId|sched:scheduleName,
HDR,sched:scheduleId,sched:scheduleName,sched:scheduleDescr,sched:weekend
REC,5054,VIB,Vienna bank holidays,65
#
# 
#
TBL,hol:HolidayDetail|sched:HolidaySchedule,,sched:scheduleId|sched:scheduleName
HDR,sched:scheduleId,sched:scheduleName,hol:holidayName,hol:holidayDate,hol:holidayActive,hol:lastUpdate
REC,5054,VIB,New Years Day,20190101T000000,Yes,20200130T000000
REC,5054,VIB,Easter Monday,20190422T000000,Yes,20200130T000000
REC,5054,VIB,Labour Day,20190501T000000,Yes,20200130T000000
REC,5054,VIB,Ascension Day,20190530T000000,Yes,20200130T000000
REC,5054,VIB,Whit Monday,20190610T000000,Yes,20200130T000000
REC,5054,VIB,Corpus Christi,20190620T000000,Yes,20200130T000000
REC,5054,VIB,Assumption Day,20190815T000000,Yes,20200130T000000
REC,5054,VIB,All Saints Day,20191101T000000,Yes,20200130T000000
REC,5054,VIB,Christmas Eve,20191224T000000,Yes,20200130T000000
REC,5054,VIB,Christmas Day,20191225T000000,Yes,20200130T000000
REC,5054,VIB,St. Stephens Day,20191226T000000,Yes,20200130T000000
REC,5054,VIB,New Years Day,20200101T000000,Yes,20200130T000000
REC,5054,VIB,Epiphany,20200106T000000,Yes,20200130T000000
REC,5054,VIB,Easter Monday,20200413T000000,Yes,20200130T000000
REC,5054,VIB,Labour Day,20200501T000000,Yes,20200130T000000
REC,5054,VIB,Ascension Day,20200521T000000,Yes,20200130T000000
REC,5054,VIB,Whit Monday,20200601T000000,Yes,20200130T000000
REC,5054,VIB,Corpus Christi,20200611T000000,Yes,20200130T000000
REC,5054,VIB,National Holiday,20201026T000000,Yes,20200130T000000
REC,5054,VIB,Immaculate Conception,20201208T000000,Yes,20200130T000000
REC,5054,VIB,Christmas Eve,20201224T000000,Yes,20200130T000000
REC,5054,VIB,Christmas Day,20201225T000000,Yes,20200130T000000
REC,5054,VIB,New Years Day,20210101T000000,Yes,20210206T000000
REC,5054,VIB,Epiphany,20210106T000000,Yes,20210206T000000
REC,5054,VIB,Easter Monday,20210405T000000,Yes,20210206T000000
REC,5054,VIB,Ascension Day,20210513T000000,Yes,20210206T000000
REC,5054,VIB,Whit Monday,20210524T000000,Yes,20210206T000000
REC,5054,VIB,Corpus Christi,20210603T000000,Yes,20210206T000000
REC,5054,VIB,National Holiday,20211026T000000,Yes,20210206T000000
REC,5054,VIB,All Saints Day,20211101T000000,Yes,20210206T000000
REC,5054,VIB,Immaculate Conception,20211208T000000,Yes,20210206T000000
REC,5054,VIB,Christmas Eve,20211224T000000,Yes,20210206T000000
REC,5054,VIB,Epiphany,20220106T000000,Yes,20210206T000000
REC,5054,VIB,Easter Monday,20220418T000000,Yes,20210206T000000
REC,5054,VIB,Ascension Day,20220526T000000,Yes,20210206T000000
REC,5054,VIB,Whit Monday,20220606T000000,Yes,20210206T000000
REC,5054,VIB,Corpus Christi,20220616T000000,Yes,20210206T000000
REC,5054,VIB,Assumption Day,20220815T000000,Yes,20210206T000000
REC,5054,VIB,National Holiday,20221026T000000,Yes,20210206T000000
REC,5054,VIB,All Saints Day,20221101T000000,Yes,20210206T000000
REC,5054,VIB,Immaculate Conception,20221208T000000,Yes,20210206T000000
REC,5054,VIB,St. Stephens Day,20221226T000000,Yes,20210206T000000
REC,5054,VIB,Epiphany,20230106T000000,Yes,20210206T000000
REC,5054,VIB,Easter Monday,20230410T000000,Yes,20210206T000000
REC,5054,VIB,Labour Day,20230501T000000,Yes,20210206T000000
REC,5054,VIB,Ascension Day,20230518T000000,Yes,20210206T000000
REC,5054,VIB,Whit Monday,20230529T000000,Yes,20210206T000000
REC,5054,VIB,Corpus Christi,20230608T000000,Yes,20210206T000000
REC,5054,VIB,Assumption Day,20230815T000000,Yes,20210206T000000
REC,5054,VIB,National Holiday,20231026T000000,Yes,20210206T000000
REC,5054,VIB,All Saints Day,20231101T000000,Yes,20210206T000000
REC,5054,VIB,Immaculate Conception,20231208T000000,Yes,20210206T000000
REC,5054,VIB,Christmas Day,20231225T000000,Yes,20210206T000000
REC,5054,VIB,St. Stephens Day,20231226T000000,Yes,20210206T000000
REC,5054,VIB,New Years Day,20240101T000000,Yes,20210206T000000
REC,5054,VIB,Easter Monday,20240401T000000,Yes,20210206T000000
REC,5054,VIB,Labour Day,20240501T000000,Yes,20210206T000000
REC,5054,VIB,Ascension Day,20240509T000000,Yes,20210206T000000
REC,5054,VIB,Whit Monday,20240520T000000,Yes,20210206T000000
REC,5054,VIB,Corpus Christi,20240530T000000,Yes,20210206T000000
REC,5054,VIB,Assumption Day,20240815T000000,Yes,20210206T000000
REC,5054,VIB,All Saints Day,20241101T000000,Yes,20210206T000000
REC,5054,VIB,Christmas Eve,20241224T000000,Yes,20210206T000000
REC,5054,VIB,Christmas Day,20241225T000000,Yes,20210206T000000
REC,5054,VIB,St. Stephens Day,20241226T000000,Yes,20210206T000000
REC,5054,VIB,New Years Day,20250101T000000,Yes,20210206T000000
REC,5054,VIB,Epiphany,20250106T000000,Yes,20210206T000000
REC,5054,VIB,Easter Monday,20250421T000000,Yes,20210206T000000
REC,5054,VIB,Labour Day,20250501T000000,Yes,20210206T000000
REC,5054,VIB,Ascension Day,20250529T000000,Yes,20210206T000000
REC,5054,VIB,Whit Monday,20250609T000000,Yes,20210206T000000
REC,5054,VIB,Corpus Christi,20250619T000000,Yes,20210206T000000
REC,5054,VIB,Assumption Day,20250815T000000,Yes,20210206T000000
REC,5054,VIB,Immaculate Conception,20251208T000000,Yes,20210206T000000
REC,5054,VIB,Christmas Eve,20251224T000000,Yes,20210206T000000
REC,5054,VIB,Christmas Day,20251225T000000,Yes,20210206T000000
REC,5054,VIB,St. Stephens Day,20251226T000000,Yes,20210206T000000
REC,5054,VIB,New Years Day,20260101T000000,Yes,20210206T000000
REC,5054,VIB,Epiphany,20260106T000000,Yes,20210206T000000
REC,5054,VIB,Easter Monday,20260406T000000,Yes,20210206T000000
REC,5054,VIB,Labour Day,20260501T000000,Yes,20210206T000000
REC,5054,VIB,Ascension Day,20260514T000000,Yes,20210206T000000
REC,5054,VIB,Whit Monday,20260525T000000,Yes,20210206T000000
REC,5054,VIB,Corpus Christi,20260604T000000,Yes,20210206T000000
REC,5054,VIB,National Holiday,20261026T000000,Yes,20210206T000000
REC,5054,VIB,Immaculate Conception,20261208T000000,Yes,20210206T000000
REC,5054,VIB,Christmas Eve,20261224T000000,Yes,20210206T000000
REC,5054,VIB,Christmas Day,20261225T000000,Yes,20210206T000000
REC,5054,VIB,New Years Day,20270101T000000,Yes,20210206T000000
REC,5054,VIB,Epiphany,20270106T000000,Yes,20210206T000000
REC,5054,VIB,Easter Monday,20270329T000000,Yes,20210206T000000
REC,5054,VIB,Ascension Day,20270506T000000,Yes,20210206T000000
REC,5054,VIB,Whit Monday,20270517T000000,Yes,20210206T000000
REC,5054,VIB,Corpus Christi,20270527T000000,Yes,20210206T000000
REC,5054,VIB,National Holiday,20271026T000000,Yes,20210206T000000
REC,5054,VIB,All Saints Day,20271101T000000,Yes,20210206T000000
REC,5054,VIB,Immaculate Conception,20271208T000000,Yes,20210206T000000
REC,5054,VIB,Christmas Eve,20271224T000000,Yes,20210206T000000
REC,5054,VIB,Epiphany,20280106T000000,Yes,20210206T000000
REC,5054,VIB,Easter Monday,20280417T000000,Yes,20210206T000000
REC,5054,VIB,Labour Day,20280501T000000,Yes,20210206T000000
REC,5054,VIB,Ascension Day,20280525T000000,Yes,20210206T000000
REC,5054,VIB,Whit Monday,20280605T000000,Yes,20210206T000000
REC,5054,VIB,Corpus Christi,20280615T000000,Yes,20210206T000000
REC,5054,VIB,Assumption Day,20280815T000000,Yes,20210206T000000
REC,5054,VIB,National Holiday,20281026T000000,Yes,20210206T000000
